#lon lat val
67.3793 64.4738 NaN
79.8384 63.2464 NaN
89.6734 62.5938 NaN
98.4802 62.275 NaN
106.933 62.2171 NaN
115.509 62.4087 NaN
124.748 62.8894 NaN
135.639 63.7937 NaN
151.743 65.6865 NaN

40.7023 57.7138 NaN
60.3399 55.3452 NaN
70.9691 54.3107 NaN
79.3894 53.6596 NaN
86.755 53.2295 NaN
93.5432 52.9578 NaN
100.023 52.8151 NaN
106.383 52.7885 NaN
112.786 52.8758 NaN
119.402 53.0844 NaN
126.454 53.4349 NaN
134.296 53.9707 NaN
143.651 54.7916 NaN
156.862 56.2287 NaN

48.9423 49.1802 NaN
61.1641 47.9468 NaN
69.8649 47.2066 NaN
77.1153 46.6959 NaN
83.568 46.3318 NaN
89.5363 46.0764 NaN
95.2061 45.9096 NaN
100.706 45.8204 NaN
106.138 45.8037 NaN
111.594 45.8584 NaN
117.17 45.9878 NaN
122.98 46.1997 NaN
129.176 46.5094 NaN
135.999 46.9447 NaN
143.896 47.5614 NaN
153.976 48.5013 NaN
173.206 50.638 NaN

48.6928 42.9527 NaN
59.5563 41.9713 NaN
67.5812 41.3469 NaN
74.3299 40.9004 NaN
80.3444 40.5695 NaN
85.8929 40.3244 NaN
91.1355 40.1485 NaN
96.1806 40.0319 NaN
101.11 39.9692 NaN
105.993 39.9573 NaN
110.892 39.996 NaN
115.874 40.0867 NaN
121.012 40.2338 NaN
126.401 40.4449 NaN
132.172 40.7327 NaN
138.531 41.1198 NaN
145.857 41.6492 NaN
155.038 42.423 NaN
170.123 43.9005 NaN

45.9292 37.6622 NaN
56.7813 36.767 NaN
64.6617 36.1992 NaN
71.2353 35.7888 NaN
77.0562 35.4789 NaN
82.3931 35.2422 NaN
87.4031 35.0635 NaN
92.1898 34.9338 NaN
96.8289 34.8471 NaN
101.38 34.8003 NaN
105.896 34.7914 NaN
110.424 34.8203 NaN
115.015 34.8879 NaN
119.724 34.9969 NaN
124.619 35.1516 NaN
129.786 35.3596 NaN
135.355 35.6327 NaN
141.53 35.9912 NaN
148.694 36.4745 NaN
157.77 37.1773 NaN
173.469 38.5748 NaN

41.0313 32.9684 NaN
53.0666 32.0572 NaN
61.2082 31.5143 NaN
67.8438 31.1257 NaN
73.6427 30.8308 NaN
78.9088 30.602 NaN
83.8125 30.4244 NaN
88.4627 30.2889 NaN
92.9358 30.1897 NaN
97.29 30.1232 NaN
101.573 30.0871 NaN
105.827 30.0803 NaN
110.091 30.1025 NaN
114.406 30.1545 NaN
118.817 30.238 NaN
123.376 30.3559 26.9156
128.149 30.5128 NaN
133.228 30.7161 NaN
138.75 30.9775 27.9429
144.94 31.3174 NaN
152.245 31.7761 NaN
161.854 32.461 NaN

31.3794 28.8698 NaN
48.2392 27.6958 NaN
57.1534 27.1502 NaN
64.094 26.7737 NaN
70.0277 26.4904 NaN
75.3418 26.2697 NaN
80.2392 26.0958 NaN
84.8437 25.9594 NaN
89.2385 25.8545 NaN
93.4849 25.7775 NaN
97.6305 25.7256 NaN
101.715 25.6975 NaN
105.775 25.6921 NaN
109.844 25.7095 NaN
113.957 25.7501 NaN
118.15 25.8151 NaN
122.469 25.9064 29.2485
126.966 26.0274 29.732
131.713 26.1828 28.9903
136.812 26.38 27.6607
