#x bias
-20.2975 5.65479e-06
-19.4039 1.03671e-05
-18.5103 8.48219e-06
-17.6167 1.03671e-05
-16.7232 1.79068e-05
-15.8296 2.26192e-05
-14.936 4.42959e-05
-14.0424 4.0526e-05
-13.1488 6.12602e-05
-12.2552 4.99507e-05
-11.3616 9.99013e-05
-10.4681 0.000147025
-9.57447 0.000295934
-8.68089 0.000395835
-7.7873 0.000530608
-6.89372 0.00106027
-6.00013 0.00246832
-5.10655 0.0047472
-4.21296 0.0100231
-3.31938 0.0218586
-2.42579 0.0493079
-1.53221 0.12093
-0.63862 0.315207
0.254965 0.352315
1.14855 0.102216
2.04214 0.0159578
2.93572 0.00183121
3.82931 0.000279912
4.72289 5.37205e-05
5.61648 3.76986e-06
6.51006 0
