#x bias
-20.4943 2.82742e-06
-19.9943 3.7699e-06
-19.4943 4.71237e-06
-18.9943 6.59732e-06
-18.4943 3.7699e-06
-17.9943 7.53979e-06
-17.4943 3.7699e-06
-16.9943 1.03672e-05
-16.4943 9.42474e-06
-15.9943 1.31946e-05
-15.4943 1.60221e-05
-14.9943 2.35619e-05
-14.4943 2.92167e-05
-13.9943 1.41371e-05
-13.4943 3.39291e-05
-12.9943 3.5814e-05
-12.4943 1.88495e-05
-11.9943 4.24113e-05
-11.4943 4.71237e-05
-10.9943 6.40882e-05
-10.4943 8.01103e-05
-9.99429 0.000131004
-9.49429 0.000168703
-8.99429 0.00019792
-8.49429 0.000239388
-7.99429 0.000278972
-7.49429 0.000322326
-6.99429 0.000517418
-6.49429 0.000882156
-5.99429 0.00135434
-5.49429 0.00198485
-4.99429 0.00288114
-4.49429 0.00431465
-3.99429 0.00665104
-3.49429 0.010288
-2.99429 0.0158637
-2.49429 0.0254166
-1.99429 0.0407903
-1.49429 0.0684491
-0.994293 0.120329
-0.494293 0.200838
0.00570721 0.234616
0.505707 0.154224
1.00571 0.0698194
1.50571 0.0265099
2.00571 0.0086538
2.50571 0.00266437
3.00571 0.000726648
3.50571 0.000226194
4.00571 0.000131946
4.50571 4.71237e-05
5.00571 8.48227e-06
5.50571 1.88495e-06
6.00571 9.42474e-07
6.50571 0
