#fy4lon fy4lat fy4clm fy4snc fy3lon fy3lat dist fy3val outtype 
61.9983 73.2718 1 11 61.9052 73.061 0.230499 1014 201 
74.9514 71.4457 0 11 74.8669 71.4798 0.0910912 3 11 
83.1947 70.5747 0 50 82.9987 70.6196 0.201102 1 50 
90.0135 70.0521 0 50 90.3237 70.0831 0.311717 8 50 
96.1661 69.745 0 50 96.059 69.7415 0.107166 55 201 
102.001 69.6029 0 50 101.807 69.6481 0.199332 15 201 
107.744 69.6073 0 50 107.636 69.5677 0.114903 19 201 
113.591 69.7584 0 50 113.537 69.9934 0.24115 21 201 
119.772 70.0766 0 50 119.624 70.1966 0.190855 25 201 
126.648 70.615 0 11 126.539 70.538 0.133684 15 201 
135.025 71.5158 0 11 135 71.3945 0.123804 5 11 
148.727 73.485 1 11 148.772 73.3152 0.175587 1014 201 
58.3464 65.5944 0 50 58.3052 65.7353 0.146779 0 50 
67.3793 64.4738 0 50 67.3996 64.437 0.0420637 0 50 
74.1303 63.7575 0 50 74.2244 63.8222 0.114226 3 50 
79.8384 63.2464 0 50 80.0201 63.2633 0.182473 0 50 
84.9457 62.8699 0 50 84.9785 62.8781 0.0338577 0 50 
89.6734 62.5938 0 50 89.7642 62.5225 0.115412 13 201 
94.1546 62.3991 0 25 94.0018 62.4541 0.162387 18 201 
98.4802 62.275 0 50 98.6576 62.1992 0.192853 47 201 
102.72 62.2152 0 25 102.856 62.038 0.22325 17 201 
106.933 62.2171 0 50 106.811 62.235 0.123439 19 201 
111.176 62.2806 0 50 111.238 62.2124 0.0922524 18 201 
115.509 62.4087 0 50 115.413 62.3293 0.124701 19 201 
120.002 62.6079 0 50 120.069 62.6959 0.110256 18 201 
124.748 62.8894 0 50 124.816 62.8742 0.0692416 16 201 
129.884 63.2728 0 50 129.837 63.3629 0.101855 12 201 
135.639 63.7937 0 50 135.694 63.634 0.168978 17 201 
142.477 64.5263 0 50 142.571 64.5489 0.0964311 17 201 
151.743 65.6865 0 50 151.663 65.5145 0.189715 9 50 
45.112 61.7533 1 50 45 61.6772 0.135349 0 50 
57.129 60.1935 0 50 57.0948 60.1806 0.0365888 0 50 
64.5309 59.3415 0 50 64.4731 59.219 0.135459 0 50 
70.4174 58.7408 0 25 70.3879 58.5701 0.173221 0 25 
75.4973 58.2852 0 50 75.3189 58.2118 0.192926 0 50 
80.0726 57.9293 0 200 80.0389 57.8471 0.0888866 0 200 
84.3065 57.6492 0 25 84.1491 57.7055 0.167176 0 25 
88.3001 57.4304 0 25 88.2039 57.3947 0.102622 0 25 
92.1225 57.2638 0 50 92.1798 57.1528 0.12497 0 50 
95.8248 57.1435 0 50 95.7699 57.2403 0.111258 3 50 
99.4476 57.0656 0 50 99.3645 57.1949 0.153701 5 50 
103.025 57.0278 0 50 102.935 57.0171 0.0904163 5 50 
106.589 57.0289 0 50 106.567 56.9333 0.0979873 5 50 
110.168 57.0691 0 50 110.303 56.9333 0.191132 13 201 
113.795 57.1495 0 50 113.822 57.0978 0.0584281 15 201 
117.503 57.2725 0 50 117.545 57.341 0.080408 29 201 
121.334 57.442 0 50 121.306 57.4403 0.0277582 48 201 
125.34 57.6641 0 50 125.304 57.5858 0.0860332 59 201 
129.591 57.9483 0 50 129.519 58.0771 0.147633 20 201 
134.191 58.3094 0 50 134.132 58.2234 0.104354 13 201 
139.309 58.7721 0 50 139.421 58.7913 0.114045 5 50 
145.259 59.3839 0 50 145.305 59.5342 0.156985 1014 201 
152.798 60.2577 0 50 152.945 60.3664 0.183071 13 201 
165.523 61.9227 2 11 165.35 61.8181 0.201706 0 11 
40.7023 57.7138 0 50 40.7108 57.8042 0.0907993 3 50 
53.0612 56.1668 0 50 52.9372 56.2398 0.143917 0 50 
60.3399 55.3452 0 50 60.325 55.3 0.0475884 0 50 
66.0651 54.761 0 200 66.1691 54.785 0.106745 0 200 
70.9691 54.3107 0 25 70.8734 54.1982 0.14768 0 25 
75.3565 53.9512 0 25 75.2197 53.826 0.185453 0 25 
79.3894 53.6596 0 25 79.3251 53.7071 0.0799504 0 25 
83.1668 53.422 0 25 83.0298 53.3686 0.147045 0 25 
86.755 53.2295 0 25 86.6335 53.1102 0.170263 0 25 
90.2016 53.0762 0 25 90.1774 53.1761 0.102799 0 25 
93.5432 52.9578 0 200 93.6971 52.8591 0.182789 32 201 
96.8087 52.8714 0 50 96.8847 52.8985 0.0806495 0 50 
100.023 52.8151 0 25 100.069 52.8184 0.0462134 18 201 
103.208 52.7877 0 25 103.311 52.8504 0.12093 -500 25 
106.383 52.7885 0 25 106.548 52.7588 0.167637 1014 201 
109.569 52.8177 0 50 109.547 52.8475 0.0367557 10 50 
112.786 52.8758 0 50 112.876 52.7385 0.164484 5 50 
116.055 52.964 0 50 116.17 53.0298 0.132482 0 50 
119.402 53.0844 0 50 119.329 52.9859 0.122529 5 50 
122.856 53.2399 0 50 122.853 53.2245 0.0157743 0 50 
126.454 53.4349 0 25 126.407 53.3171 0.126855 3 25 
130.245 53.6754 0 50 130.152 53.7769 0.137572 25 201 
134.296 53.9707 0 50 134.233 53.9079 0.0888334 28 201 
138.708 54.3349 0 39 138.625 54.3381 0.0838031 1014 201 
143.651 54.7916 0 39 143.686 54.8277 0.0504921 1014 201 
149.441 55.3862 0 39 149.487 55.2676 0.126959 1014 201 
156.862 56.2287 0 50 156.801 56.2382 0.0609963 0 50 
170.107 57.899 0 11 170.039 57.8471 0.0858284 1014 201 
47.1399 52.9258 0 50 47.2409 52.8781 0.11168 0 50 
